ID,Materia,Subtopico,Dificuldade,Tempo_Min
1508,Inglês,Grammar,4.5,12
1509,Geografia,Geopolítica,1.8,4
1510,Português,Semântica,4.8,13
1511,Matemática,Álgebra,4.7,17
1512,Biologia,Citologia,4.9,17
1513,Química,Atomística,2.6,7
1514,Química,Atomística,4.8,16
1515,Física,Cinemática,3.9,12
1516,Inglês,Reading,1.9,9
1517,História,Brasil Colônia,4.0,13
1518,Biologia,Botânica,1.9,8
1519,Biologia,Fisiologia Humana,1.7,3
1520,História,Brasil Colônia,1.9,4
1521,Geografia,Ambiental,3.7,9
1522,Inglês,Reading,4.5,14
1523,Biologia,Evolução,2.5,9
1524,História,Antiga,1.4,4
1525,Biologia,Fisiologia Humana,4.6,16
1526,Matemática,Álgebra,2.0,6
1527,Português,Interpretação de Texto,1.5,2
1528,Química,Orgânica,1.7,5
1529,Inglês,Reading,1.4,5
1530,Química,Orgânica,1.5,21
1531,História,Moderna,2.4,7
1532,História,Brasil República,2.3,6
1533,Inglês,Reading,3.2,12
1534,Inglês,Reading,1.8,4
1535,Matemática,Trigonometria,2.0,7
1536,Física,Óptica,1.2,6
1537,Inglês,Grammar,3.0,13
1538,Química,Atomística,2.4,7
1539,Química,Físico-Química,4.0,14
1540,Biologia,Botânica,5.0,31
1541,Física,Dinâmica,4.1,12
1542,Matemática,Geometria Espacial,3.7,12
1543,Geografia,Ambiental,4.7,14
1544,Química,Atomística,1.3,6
1545,Inglês,Grammar,3.5,13
1546,Matemática,Geometria Espacial,4.9,15
1547,Geografia,Ambiental,1.5,8
1548,História,Brasil Colônia,4.2,14
1549,Português,Gramática,2.6,11
1550,Português,Gramática,1.1,4
1551,Português,Interpretação de Texto,3.6,9
1552,Física,Termodinâmica,3.0,13
1553,História,Moderna,3.4,8
1554,Geografia,Ambiental,1.8,6
1555,Inglês,Grammar,3.3,13
1556,Português,Interpretação de Texto,3.5,11
1557,Física,Cinemática,3.1,12
1558,Biologia,Evolução,3.7,12
1559,Física,Termodinâmica,2.9,12
1560,Inglês,Grammar,1.6,4
1561,Biologia,Botânica,2.7,10
1562,Física,Cinemática,3.1,10
1563,Física,Óptica,3.6,10
1564,Geografia,Geopolítica,3.3,7
1565,Física,Ondulatória,3.6,9
1566,Português,Gramática,1.3,3
1567,Geografia,Ambiental,3.9,12
1568,História,Brasil Colônia,4.9,13
1569,Biologia,Genética,1.3,3
1570,Física,Óptica,3.1,19
1571,Química,Eletroquímica,2.9,12
1572,Inglês,Grammar,3.5,10
1573,Português,Interpretação de Texto,1.4,3
1574,Física,Moderna,1.1,7
1575,Matemática,Geometria Plana,2.9,7
1576,Português,Redação,1.8,6
1577,Química,Inorgânica,2.7,7
1578,Inglês,Grammar,2.9,10
1579,Biologia,Genética,2.2,7
1580,Matemática,Geometria Espacial,1.0,6
1581,Português,Semântica,4.4,15
1582,História,Antiga,2.9,10
1583,Inglês,Reading,3.9,12
1584,Geografia,Ambiental,1.3,4
1585,Inglês,Reading,3.0,9
1586,Inglês,Vocabulary,2.7,11
1587,Biologia,Fisiologia Humana,2.4,6
1588,Geografia,Ambiental,4.4,14
1589,Química,Orgânica,3.9,12
1590,Geografia,Cartografia,4.2,14
1591,Biologia,Ecologia,3.8,12
1592,Química,Físico-Química,1.8,3
1593,Português,Semântica,2.2,4
1594,Matemática,Geometria Espacial,4.5,12
1595,Química,Estequiometria,1.1,4
1596,Física,Eletromagnetismo,1.9,6
1597,História,Brasil Colônia,4.1,16
1598,História,Medieval,4.4,15
1599,Física,Ondulatória,1.2,7
1600,Inglês,Reading,4.9,16
1601,Física,Moderna,3.2,8
1602,Física,Moderna,1.8,8
1603,História,Moderna,2.8,11
1604,Física,Dinâmica,3.6,9
1605,Física,Moderna,1.8,9
1606,Matemática,Geometria Plana,4.3,12
1607,Química,Atomística,2.1,7
1608,Geografia,Humana,1.6,5
1609,Biologia,Genética,4.2,13
1610,Inglês,Vocabulary,4.2,10
1611,Inglês,Reading,4.1,14
1612,Física,Cinemática,2.4,11
1613,Química,Inorgânica,1.2,6
1614,Química,Estequiometria,1.2,6
1615,História,Brasil Império,2.6,9
1616,História,Moderna,4.0,10
1617,História,Brasil República,3.4,11
1618,Inglês,Vocabulary,1.8,9
1619,Inglês,Vocabulary,2.4,10
1620,Português,Literatura Brasileira,4.5,15
1621,Geografia,Cartografia,3.9,10
1622,História,Medieval,1.4,6
1623,Geografia,Humana,1.1,5
1624,História,Medieval,4.3,13
1625,Física,Ondulatória,1.2,6
1626,Geografia,Física,1.2,2
1627,Inglês,Grammar,3.3,6
1628,Biologia,Ecologia,2.2,10
1629,Química,Eletroquímica,2.5,5
1630,Geografia,Ambiental,3.3,9
1631,Inglês,Reading,1.6,5
1632,Física,Cinemática,1.2,4
1633,Biologia,Fisiologia Humana,1.3,4
1634,Português,Interpretação de Texto,3.3,10
1635,Inglês,Vocabulary,4.9,13
1636,Química,Inorgânica,3.8,14
1637,Física,Ondulatória,1.9,8
1638,Química,Estequiometria,2.5,9
1639,Português,Gramática,1.5,2
1640,Química,Atomística,2.5,7
1641,História,Brasil Império,1.1,7
1642,Português,Gramática,4.7,14
1643,Biologia,Genética,4.3,10
1644,Geografia,Física,4.5,15
1645,História,Brasil República,2.8,9
1646,Inglês,Vocabulary,4.3,11
1647,Inglês,Grammar,3.7,14
1648,Geografia,Física,4.2,13
1649,Português,Literatura Brasileira,4.6,11
1650,Inglês,Vocabulary,2.1,5
1651,Matemática,Cálculo,3.5,10
1652,Física,Ondulatória,3.2,11
1653,Matemática,Cálculo,3.1,11
1654,Matemática,Álgebra,3.6,8
1655,História,Contemporânea,1.8,9
1656,Inglês,Reading,4.2,13
1657,Matemática,Trigonometria,4.4,10
1658,Português,Gramática,4.4,13
1659,Física,Cinemática,4.9,14
1660,Química,Físico-Química,2.0,6
1661,Português,Literatura Brasileira,1.2,2
1662,Matemática,Estatística,1.2,3
1663,Química,Inorgânica,4.6,17
1664,Física,Cinemática,1.8,7
1665,Biologia,Fisiologia Humana,3.0,7
1666,História,Antiga,2.3,4
1667,Inglês,Reading,2.6,5
1668,História,Brasil República,4.9,13
1669,Química,Orgânica,3.3,13
1670,Biologia,Genética,2.5,11
1671,Biologia,Botânica,4.8,16
1672,Inglês,Reading,1.0,7
1673,História,Moderna,4.9,10
1674,História,Contemporânea,3.7,15
1675,Biologia,Botânica,4.4,12
1676,Física,Termodinâmica,1.4,8
1677,Química,Eletroquímica,3.2,10
1678,Biologia,Botânica,3.0,12
1679,Geografia,Geopolítica,4.9,14
1680,Biologia,Evolução,4.9,15
1681,Geografia,Física,4.7,12
1682,Inglês,Reading,4.6,14
1683,Inglês,Grammar,3.2,12
1684,Física,Eletromagnetismo,1.1,6
1685,Inglês,Vocabulary,1.5,5
1686,Geografia,Cartografia,1.7,8
1687,Matemática,Álgebra,2.9,9
1688,Matemática,Geometria Plana,4.0,15
1689,Geografia,Humana,1.4,4
1690,Biologia,Genética,4.9,12
1691,História,Brasil Império,4.6,12
1692,Matemática,Geometria Plana,4.9,12
1693,História,Brasil República,3.0,8
1694,Química,Atomística,3.4,9
1695,História,Brasil República,4.4,16
1696,História,Medieval,4.4,8
1697,Matemática,Trigonometria,3.6,8
1698,Geografia,Cartografia,4.4,11
1699,Inglês,Grammar,2.4,10
1700,Biologia,Citologia,2.1,7
1701,Geografia,Física,2.6,9
1702,Matemática,Estatística,1.9,3
1703,Biologia,Genética,1.7,8
1704,Física,Cinemática,2.9,10
1705,Geografia,Geopolítica,2.0,6
1706,Matemática,Combinatória,2.3,4
1707,Inglês,Reading,3.5,8
1708,Matemática,Álgebra,2.5,10
1709,Física,Moderna,1.5,5
1710,Matemática,Geometria Espacial,3.4,8
1711,Matemática,Cálculo,1.2,4
1712,Física,Eletromagnetismo,4.0,14
1713,Matemática,Trigonometria,2.5,9
1714,Física,Termodinâmica,3.6,8
1715,Inglês,Vocabulary,2.3,4
1716,Matemática,Cálculo,3.9,15
1717,Biologia,Botânica,1.5,4
1718,Português,Semântica,3.9,10
1719,Química,Atomística,1.2,4
1720,Geografia,Geopolítica,3.3,8
1721,Química,Inorgânica,2.2,6
1722,Matemática,Cálculo,3.3,7
1723,Biologia,Botânica,4.3,10
1724,Português,Interpretação de Texto,1.8,4
1725,Física,Termodinâmica,1.8,8
1726,Inglês,Vocabulary,3.8,13
1727,Geografia,Ambiental,2.2,4
1728,Inglês,Reading,3.0,12
1729,Biologia,Evolução,1.9,4
1730,Inglês,Vocabulary,4.1,16
1731,Português,Literatura Brasileira,2.6,5
1732,Geografia,Física,1.3,15
1733,História,Brasil Império,1.8,9
1734,Geografia,Física,4.9,14
1735,Química,Físico-Química,4.5,13
1736,Biologia,Genética,1.8,5
1737,Física,Cinemática,4.3,15
1738,Física,Termodinâmica,4.7,13
1739,Geografia,Geopolítica,3.6,14
1740,Português,Gramática,1.5,3
1741,Biologia,Genética,3.1,9
1742,Português,Literatura Brasileira,4.7,16
1743,Biologia,Botânica,2.2,5
1744,Matemática,Estatística,4.2,16
1745,Inglês,Reading,3.9,15
1746,Física,Dinâmica,3.0,12
1747,Geografia,Cartografia,3.1,12
1748,Geografia,Ambiental,3.8,12
1749,Inglês,Grammar,3.3,13
1750,Matemática,Geometria Plana,1.9,9
1751,Biologia,Fisiologia Humana,1.9,6
1752,Química,Orgânica,2.0,10
1753,Física,Termodinâmica,2.8,10
1754,Matemática,Trigonometria,3.0,10
1755,Inglês,Grammar,2.6,7
1756,História,Brasil Império,1.1,3
1757,Física,Termodinâmica,4.6,15
1758,Física,Moderna,2.1,4
1759,Física,Termodinâmica,1.2,2
1760,Geografia,Geopolítica,2.2,9
1761,História,Medieval,3.8,15
1762,História,Antiga,4.1,12
1763,Português,Semântica,4.3,10
1764,Inglês,Vocabulary,3.1,8
1765,Português,Literatura Brasileira,1.9,6
1766,Biologia,Botânica,3.3,10
1767,Inglês,Grammar,4.2,11
1768,Português,Semântica,1.8,7
1769,Matemática,Geometria Espacial,1.6,4
1770,Matemática,Trigonometria,4.2,12
1771,Biologia,Fisiologia Humana,2.7,12
1772,História,Brasil Colônia,3.3,7
1773,Química,Físico-Química,4.9,16
1774,Português,Semântica,1.8,7
1775,Português,Literatura Brasileira,2.9,9
1776,História,Antiga,1.7,4
1777,Matemática,Combinatória,3.8,10
1778,Biologia,Citologia,4.6,12
1779,Biologia,Ecologia,3.6,8
1780,Geografia,Ambiental,1.0,4
1781,Português,Literatura Brasileira,5.0,16
1782,Inglês,Vocabulary,1.3,7
1783,Biologia,Genética,4.5,17
1784,Inglês,Reading,3.4,12
1785,Biologia,Botânica,3.9,10
1786,Matemática,Geometria Plana,2.8,10
1787,Biologia,Botânica,2.3,7
1788,Inglês,Grammar,3.3,9
1789,Inglês,Grammar,3.8,11
1790,Português,Redação,4.3,13
1791,Biologia,Genética,4.6,14
1792,Português,Literatura Brasileira,3.8,14
1793,Matemática,Geometria Plana,4.5,16
1794,História,Moderna,4.7,17
1795,Biologia,Fisiologia Humana,2.6,5
1796,Geografia,Física,4.0,16
1797,Geografia,Cartografia,2.8,10
1798,Matemática,Trigonometria,1.1,6
1799,Inglês,Grammar,2.4,6
1800,Português,Gramática,1.0,2
1801,Geografia,Cartografia,2.9,10
1802,Biologia,Evolução,4.8,18
1803,História,Contemporânea,1.6,6
1804,Física,Dinâmica,2.2,7
1805,Química,Atomística,3.7,8
1806,Inglês,Grammar,1.7,8
1807,Biologia,Fisiologia Humana,3.8,15
1808,Física,Óptica,3.8,13
1809,Matemática,Álgebra,4.1,11
1810,Geografia,Humana,1.8,15
1811,Geografia,Humana,3.7,9
1812,Química,Eletroquímica,1.7,3
1813,Geografia,Geopolítica,3.2,8
1814,Português,Semântica,1.5,4
1815,Geografia,Humana,1.1,2
1816,Português,Literatura Brasileira,2.8,12
1817,História,Moderna,3.5,26
1818,História,Contemporânea,3.4,8
1819,Química,Orgânica,4.8,17
1820,Português,Literatura Brasileira,2.3,9
1821,Geografia,Cartografia,1.3,1
1822,Biologia,Botânica,3.3,8
1823,Matemática,Cálculo,4.0,11
1824,Português,Literatura Brasileira,3.5,10
1825,Inglês,Grammar,1.8,8
1826,Matemática,Geometria Plana,4.7,15
1827,Geografia,Humana,2.1,10
1828,Matemática,Cálculo,4.2,16
1829,História,Contemporânea,1.1,3
1830,Geografia,Humana,1.8,8
1831,Biologia,Evolução,3.8,15
1832,Português,Redação,2.3,4
1833,Física,Moderna,3.0,7
1834,Química,Físico-Química,1.5,6
1835,Biologia,Genética,3.0,10
1836,História,Medieval,3.9,10
1837,Biologia,Ecologia,2.1,9
1838,Biologia,Ecologia,4.4,13
1839,Português,Semântica,1.7,7
1840,Português,Literatura Brasileira,4.3,10
1841,Português,Semântica,4.4,13
1842,Química,Estequiometria,3.9,12
1843,História,Brasil Império,2.1,7
1844,Física,Termodinâmica,1.5,3
1845,Biologia,Citologia,1.1,6
1846,Geografia,Cartografia,2.6,8
1847,Geografia,Cartografia,3.0,11
1848,Física,Óptica,4.5,11
1849,Português,Redação,1.6,4
1850,Geografia,Ambiental,3.8,11
1851,Matemática,Estatística,2.5,6
1852,Biologia,Fisiologia Humana,1.1,6
1853,Matemática,Estatística,3.7,13
1854,Inglês,Vocabulary,1.6,6
1855,Química,Atomística,1.5,7
1856,Português,Semântica,3.8,9
1857,Biologia,Fisiologia Humana,1.7,8
1858,História,Brasil República,4.9,15
1859,História,Moderna,2.6,10
1860,Física,Cinemática,3.5,10
1861,Química,Orgânica,4.0,13
1862,História,Antiga,4.9,12
1863,Física,Cinemática,4.1,13
1864,História,Moderna,2.7,7
1865,Química,Físico-Química,2.9,6
1866,Inglês,Vocabulary,4.3,10
1867,Química,Físico-Química,2.0,7
1868,Inglês,Vocabulary,4.7,17
1869,Química,Atomística,2.2,6
1870,Física,Termodinâmica,1.1,4
1871,Física,Cinemática,1.2,2
1872,Matemática,Álgebra,1.8,6
1873,História,Brasil Império,2.9,9
1874,Geografia,Geopolítica,3.7,11
1875,Biologia,Ecologia,3.7,9
1876,Geografia,Geopolítica,4.2,9
1877,Matemática,Cálculo,1.5,7
1878,Biologia,Ecologia,2.8,12
1879,Inglês,Vocabulary,2.7,11
1880,Geografia,Física,3.5,14
1881,Geografia,Cartografia,1.9,8
1882,Física,Termodinâmica,2.7,9
1883,Física,Ondulatória,2.5,10
1884,Química,Estequiometria,4.5,16
1885,Matemática,Geometria Plana,3.0,13
1886,Inglês,Reading,4.6,14
1887,Biologia,Genética,1.8,8
1888,Física,Cinemática,2.7,7
1889,Geografia,Cartografia,4.1,12
1890,Inglês,Vocabulary,1.5,6
1891,Inglês,Reading,4.2,11
1892,Física,Ondulatória,2.4,10
1893,Português,Redação,4.9,13
1894,Biologia,Ecologia,1.5,2
1895,Geografia,Ambiental,4.7,12
1896,Geografia,Humana,4.4,15
1897,Matemática,Geometria Espacial,1.2,7
1898,Português,Semântica,2.3,9
1899,Química,Estequiometria,3.7,9
1900,Português,Gramática,3.2,8
1901,História,Contemporânea,1.9,4
1902,História,Medieval,4.0,16
1903,Matemática,Cálculo,2.3,9
1904,Física,Termodinâmica,5.0,16
1905,Biologia,Fisiologia Humana,2.2,4
1906,Geografia,Humana,4.3,15
1907,Biologia,Evolução,3.9,15
1908,Química,Inorgânica,3.9,15
1909,Química,Atomística,3.2,12
1910,Inglês,Grammar,4.0,14
1911,História,Brasil Colônia,3.8,15
1912,Português,Gramática,1.5,6
1913,Matemática,Combinatória,4.7,17
1914,Química,Estequiometria,1.6,4
1915,Química,Físico-Química,1.9,8
1916,Matemática,Geometria Espacial,3.9,14
1917,Química,Inorgânica,4.8,18
1918,Química,Atomística,1.4,3
1919,Matemática,Álgebra,4.9,16
1920,Português,Literatura Brasileira,3.5,8
1921,Física,Dinâmica,2.6,9
1922,Química,Eletroquímica,4.0,16
1923,Física,Moderna,2.9,9
1924,História,Moderna,3.6,8
1925,Física,Cinemática,1.5,6
1926,Biologia,Citologia,3.3,10
1927,História,Moderna,4.0,11
1928,Português,Semântica,5.0,15
1929,Química,Atomística,2.3,10
1930,Química,Inorgânica,4.3,10
1931,Física,Moderna,4.0,10
1932,Química,Estequiometria,3.8,7
1933,Física,Cinemática,1.5,3
1934,Física,Eletromagnetismo,2.0,4
1935,Física,Eletromagnetismo,2.2,5
1936,Português,Gramática,2.0,1
1937,Química,Estequiometria,3.0,9
1938,Biologia,Evolução,1.4,3
1939,Matemática,Geometria Plana,1.6,3
1940,Química,Estequiometria,3.2,9
1941,Química,Eletroquímica,3.5,10
1942,História,Brasil Império,3.6,11
1943,Física,Termodinâmica,3.7,10
1944,Biologia,Citologia,3.5,13
1945,Biologia,Evolução,2.5,11
1946,Química,Inorgânica,4.3,16
1947,Português,Semântica,1.1,2
1948,História,Antiga,3.1,10
1949,Física,Termodinâmica,3.6,10
1950,História,Medieval,4.5,11
1951,Física,Óptica,4.9,12
1952,Física,Dinâmica,3.1,11
1953,Inglês,Reading,3.1,13
1954,História,Brasil República,2.1,4
1955,Química,Orgânica,4.8,14
1956,Português,Semântica,3.4,13
1957,Química,Eletroquímica,1.5,7
1958,História,Antiga,4.7,14
1959,Biologia,Evolução,3.4,9
1960,Inglês,Grammar,4.2,12
1961,Português,Redação,4.8,18
1962,Biologia,Ecologia,3.5,10
1963,Português,Interpretação de Texto,4.4,11
1964,Biologia,Citologia,1.7,8
1965,História,Brasil República,4.7,12
1966,Português,Redação,4.7,15
1967,Física,Óptica,1.1,7
1968,Matemática,Estatística,2.7,8
1969,Biologia,Evolução,3.6,12
1970,Matemática,Cálculo,2.8,12
1971,Biologia,Genética,1.3,5
1972,Geografia,Física,2.7,8
1973,Física,Termodinâmica,4.7,16
1974,Física,Termodinâmica,2.2,5
1975,Matemática,Estatística,3.5,10
1976,Matemática,Trigonometria,4.6,11
1977,Geografia,Física,3.5,10
1978,Física,Cinemática,2.4,8
1979,Geografia,Física,1.4,2
1980,Química,Inorgânica,1.5,3
1981,História,Medieval,2.9,8
1982,Português,Literatura Brasileira,3.1,10
1983,Inglês,Reading,1.6,2
1984,Geografia,Humana,1.4,3
1985,Português,Semântica,4.0,11
1986,Biologia,Fisiologia Humana,4.8,12
1987,Português,Semântica,3.2,12
1988,Química,Orgânica,4.0,13
1989,Português,Literatura Brasileira,1.4,2
1990,Química,Físico-Química,2.4,17
1991,Geografia,Cartografia,4.9,15
1992,Inglês,Grammar,2.1,7
1993,Biologia,Botânica,1.6,3
1994,História,Contemporânea,1.5,7
1995,Biologia,Evolução,4.3,15
1996,Física,Ondulatória,3.9,10
1997,Química,Físico-Química,1.5,4
1998,Biologia,Genética,2.7,6
1999,Matemática,Trigonometria,2.6,10
2000,Biologia,Genética,2.3,8
2001,Português,Gramática,2.2,6
2002,Geografia,Cartografia,2.0,5
2003,Matemática,Álgebra,1.2,2
2004,História,Brasil Império,2.1,7
2005,Química,Orgânica,4.8,14
2006,Física,Cinemática,3.7,15
2007,Química,Orgânica,2.4,10
2008,Geografia,Humana,3.6,11
2009,Física,Cinemática,1.5,2
2010,Matemática,Cálculo,4.9,18
2011,Biologia,Genética,3.8,9
2012,Geografia,Geopolítica,3.9,10
2013,Química,Atomística,1.5,7
2014,História,Contemporânea,4.4,13
2015,Geografia,Cartografia,3.5,11
2016,Física,Óptica,2.7,10
2017,Matemática,Geometria Plana,3.4,9
2018,História,Antiga,4.8,17
2019,Biologia,Evolução,4.3,14
2020,Física,Dinâmica,2.8,10
2021,Português,Semântica,3.4,8
2022,Química,Estequiometria,1.9,9
2023,Inglês,Vocabulary,3.8,11
2024,Biologia,Ecologia,3.8,10
2025,Biologia,Citologia,3.1,12
2026,Química,Orgânica,4.7,18
2027,Matemática,Estatística,4.9,13
2028,Física,Cinemática,3.6,10
2029,Geografia,Física,4.8,14
2030,Química,Inorgânica,4.6,11
2031,Matemática,Combinatória,2.4,7
2032,Química,Orgânica,4.9,18
2033,Física,Ondulatória,4.0,15
2034,História,Contemporânea,3.5,9
2035,Inglês,Reading,2.3,9
2036,Português,Literatura Brasileira,2.8,9
2037,Geografia,Humana,4.6,12
2038,Inglês,Reading,4.3,14
2039,Inglês,Vocabulary,1.7,5
2040,Química,Físico-Química,4.3,11
2041,Física,Dinâmica,1.3,6
2042,Português,Gramática,3.9,15
2043,Matemática,Cálculo,1.4,2
2044,Matemática,Combinatória,4.3,11
2045,Biologia,Citologia,2.1,8
2046,Matemática,Combinatória,4.9,12
2047,Geografia,Física,1.8,7
2048,Inglês,Reading,2.2,5
2049,Matemática,Cálculo,3.8,9
2050,Matemática,Combinatória,1.2,2
2051,Português,Literatura Brasileira,1.0,2
2052,Português,Semântica,1.6,3
2053,Português,Gramática,3.0,8
2054,Física,Termodinâmica,2.4,5
2055,Geografia,Física,4.6,12
2056,Português,Redação,2.3,7
2057,Química,Eletroquímica,3.7,11
2058,Geografia,Física,2.1,6
2059,História,Contemporânea,4.6,17
2060,Matemática,Combinatória,4.7,17
2061,Química,Orgânica,1.6,8
2062,Inglês,Reading,1.5,7
2063,História,Medieval,1.4,3
2064,Português,Interpretação de Texto,2.3,9
2065,Português,Redação,4.2,16
2066,Biologia,Fisiologia Humana,2.7,10
2067,Inglês,Vocabulary,3.1,7
2068,Português,Redação,3.3,12
2069,Biologia,Evolução,1.3,2
2070,Matemática,Geometria Espacial,3.2,7
2071,Matemática,Geometria Espacial,2.4,11
2072,Química,Orgânica,2.8,10
2073,Português,Literatura Brasileira,1.8,8
2074,Química,Atomística,4.8,15
2075,Matemática,Estatística,4.9,17
2076,Física,Ondulatória,3.3,11
2077,Química,Atomística,1.6,3
2078,Física,Cinemática,3.3,8
2079,Química,Inorgânica,4.0,15
2080,História,Brasil Império,2.6,11
2081,Matemática,Geometria Espacial,1.4,7
2082,Matemática,Cálculo,4.0,10
2083,Português,Semântica,3.7,13
2084,História,Brasil República,3.0,10
2085,Química,Orgânica,4.9,13
2086,Biologia,Fisiologia Humana,3.5,9
2087,Física,Moderna,3.8,14
2088,Português,Semântica,1.7,8
2089,Português,Literatura Brasileira,2.1,6
2090,Geografia,Física,2.0,4
2091,Física,Dinâmica,3.4,10
2092,Biologia,Botânica,1.8,4
2093,História,Antiga,4.9,16
2094,Inglês,Reading,1.2,3
2095,Matemática,Geometria Espacial,4.0,14
2096,Biologia,Ecologia,4.0,11
2097,Física,Termodinâmica,2.6,5
2098,Química,Atomística,3.3,11
2099,Matemática,Geometria Espacial,1.6,2
2100,Física,Ondulatória,1.9,8
2101,Química,Eletroquímica,1.6,6
2102,Geografia,Cartografia,4.1,12
2103,Português,Gramática,4.6,14
2104,Biologia,Genética,5.0,14
2105,Inglês,Reading,4.2,16
2106,História,Brasil República,4.5,11
2107,Inglês,Reading,2.8,8
2108,Química,Atomística,2.1,4
2109,Física,Dinâmica,3.8,12
2110,História,Contemporânea,4.5,12
2111,Física,Eletromagnetismo,3.0,9
2112,Português,Semântica,4.4,12
2113,Inglês,Grammar,3.0,9
2114,Geografia,Física,3.7,11
2115,Matemática,Cálculo,4.9,18
2116,Biologia,Evolução,4.3,26
2117,Português,Literatura Brasileira,3.3,8
2118,Português,Semântica,3.7,12
2119,Inglês,Reading,1.3,4
2120,Português,Literatura Brasileira,2.6,7
2121,Inglês,Reading,3.8,11
2122,Inglês,Reading,3.2,8
2123,Biologia,Ecologia,3.3,13
2124,Português,Gramática,4.7,15
2125,Inglês,Reading,1.2,7
2126,Português,Interpretação de Texto,2.0,5
2127,Física,Termodinâmica,2.6,10
2128,Inglês,Grammar,3.1,9
2129,Química,Atomística,1.4,4
2130,História,Medieval,1.8,6
2131,Inglês,Vocabulary,3.8,14
2132,Português,Interpretação de Texto,4.7,18
2133,Matemática,Cálculo,4.1,10
2134,Química,Orgânica,3.7,14
2135,Geografia,Física,1.6,3
2136,Inglês,Grammar,1.5,5
2137,História,Brasil República,3.9,15
2138,Química,Eletroquímica,2.8,6
2139,Matemática,Geometria Plana,4.0,15
2140,Química,Estequiometria,2.5,6
2141,Matemática,Geometria Espacial,4.3,10
2142,Inglês,Vocabulary,5.0,15
2143,Geografia,Ambiental,2.7,8
2144,Física,Dinâmica,2.8,10
2145,Química,Estequiometria,2.7,11
2146,Português,Interpretação de Texto,3.8,15
2147,Física,Cinemática,4.2,15
2148,Matemática,Cálculo,4.7,17
2149,Física,Ondulatória,2.8,6
2150,História,Contemporânea,2.7,9
2151,Português,Gramática,1.8,3
2152,Geografia,Cartografia,2.7,11
2153,Português,Gramática,4.8,16
2154,História,Brasil Colônia,4.5,17
2155,Português,Literatura Brasileira,1.0,2
2156,Matemática,Álgebra,1.6,8
2157,Geografia,Geopolítica,1.7,6
2158,Biologia,Botânica,4.9,17
2159,Português,Gramática,4.2,11
2160,Português,Literatura Brasileira,2.6,6
2161,Português,Literatura Brasileira,1.4,6
2162,Física,Ondulatória,3.3,13
2163,História,Contemporânea,3.2,8
2164,Física,Cinemática,1.1,13
2165,Física,Eletromagnetismo,2.5,6
2166,Inglês,Vocabulary,3.5,9
2167,Biologia,Ecologia,1.8,8
2168,Português,Interpretação de Texto,3.6,9
2169,Matemática,Estatística,4.9,12
2170,Inglês,Vocabulary,1.5,4
2171,Química,Atomística,1.3,7
2172,Biologia,Fisiologia Humana,1.4,5
2173,Física,Óptica,4.8,17
2174,Português,Semântica,4.6,14
2175,Química,Físico-Química,2.2,9
2176,Matemática,Álgebra,4.9,15
2177,Matemática,Geometria Plana,3.1,7
2178,Biologia,Botânica,1.1,16
2179,Geografia,Física,4.6,26
2180,Física,Ondulatória,3.8,11
2181,Inglês,Reading,4.8,16
2182,História,Brasil Império,4.0,14
2183,Português,Literatura Brasileira,2.0,10
2184,História,Brasil Império,1.4,6
2185,História,Medieval,4.2,13
2186,Português,Semântica,2.7,12
2187,Geografia,Ambiental,1.4,3
2188,Geografia,Geopolítica,4.6,14
2189,Química,Atomística,4.8,15
2190,História,Brasil República,4.3,14
2191,Geografia,Cartografia,1.1,3
2192,Português,Literatura Brasileira,2.4,10
2193,Geografia,Geopolítica,1.6,2
2194,Geografia,Física,3.9,13
2195,Geografia,Humana,3.2,11
2196,Biologia,Botânica,1.9,8
2197,Física,Eletromagnetismo,4.6,17
2198,Português,Interpretação de Texto,4.3,10
2199,Inglês,Grammar,1.2,2
2200,Física,Óptica,1.7,6
2201,Biologia,Botânica,1.1,20
2202,História,Medieval,4.4,15
2203,Matemática,Geometria Espacial,3.6,8
2204,Português,Interpretação de Texto,2.1,7
2205,Física,Eletromagnetismo,4.1,10
2206,Português,Interpretação de Texto,3.8,15
2207,Física,Moderna,2.5,5
2208,Biologia,Citologia,4.3,12
2209,Português,Literatura Brasileira,1.7,9
2210,Geografia,Ambiental,5.0,19
2211,Matemática,Geometria Espacial,4.5,27
2212,Física,Termodinâmica,2.3,10
2213,Português,Interpretação de Texto,3.8,13
2214,Inglês,Reading,1.5,8
2215,Português,Semântica,3.7,10
2216,Inglês,Vocabulary,3.0,13
2217,Inglês,Reading,1.4,7
2218,Física,Termodinâmica,3.2,12
2219,Biologia,Evolução,1.3,2
2220,Biologia,Citologia,3.7,12
2221,Biologia,Fisiologia Humana,1.4,6
2222,Geografia,Geopolítica,3.8,15
2223,Física,Dinâmica,1.9,6
2224,Biologia,Fisiologia Humana,1.8,4
2225,História,Contemporânea,3.3,10
2226,Física,Ondulatória,1.4,1
2227,História,Antiga,2.9,8
2228,História,Antiga,4.7,15
2229,Biologia,Genética,2.6,7
2230,Matemática,Trigonometria,2.1,9
2231,Português,Semântica,1.8,4
2232,História,Brasil República,3.4,8
2233,Matemática,Estatística,2.0,4
2234,Matemática,Álgebra,3.3,11
2235,Física,Termodinâmica,1.9,8
2236,Português,Semântica,2.6,11
2237,História,Brasil Império,1.8,5
2238,História,Moderna,3.4,8
2239,Química,Estequiometria,4.6,16
